INPUT:text1	INPUT:text2	OUTPUT:result	CONFIDENCE:result	
Это же корвет	оформить карту мир в сбербанке	no	98.12%	
дагомыс сухогруз судно	от чего зависит активное сопротивление	no	93.10%	
мой мир	премьер-лига-россии-2021-2022 по футболу	no	99.97%	
frosty mod manager скачать fifa 19	extreme injector fifa 19	yes	99.95%	
днс купить смартфон редми 9 с в днс цена в москве	телефон leagoo m9 pro характеристики и цена	yes	79.19%	
депутаты березниковской городской думы действующие список	новости пермь	no	99.84%	
программа голос агутин и наргиз	голос агутин	yes	98.99%	
используя рисунок 2 запишите формулы веществ и рассчитайте их относительные молекулярные массы	каковы основные значения понятия природа	no	91.34%	
архитектура стали отзывы	русский забор строительный пр 7а отзывы	yes	98.20%	
где сдать тест на коронавирус Спб	Где сдать экспресс тест на ковид СПб	yes	99.99%	
яндекс диск	телефоны с самой лучшей камерой	no	88.53%	
в пруду плавали утки 4 класс	согласишься ли ты с пословицей дружба заботой да подмогой крепка	yes	92.19%	
манга сегодня злодейка счастлива	манга я стала богатой аристократкой	yes	99.83%	
доклад про одну бактерию 5 класс по биологии	сообщение про кокки 7 класс	yes	65.64%	
сергач авито	сергач подслушано	yes	99.94%	
николай заварзин ПСРЗ находка	жена депутата из Находки умерла от липосакции	no	67.48%	
объясните употребления простого настоящего времени\	it does take me long	no	86.51%	
расценки в домодедово всех работ по отделки внутренних работ в квартирах поклейка обоев,шпаклевка и т.д?	сколько стоит работа сделать цоколь под дикий камень?	yes	94.16%	
Программа передач	гранд новые серии 2021 смотреть бесплатно в хорошем качестве	yes	78.82%	
ответ по математике 4 класс учебник	ОТВЕТ ПО РУССКОМУ ЯЗЫКУ 4 КЛАСС УЧЕБНИК КАНАКИНА 1 ЧАСТЬ	yes	99.49%	
осб 9 мм цена за лист график цен	стройлето стройматериалы клин	no	95.90%	
симптомы беременности	через сколько после беременности растет грудь	yes	99.80%	
sexy kız  sevgilisine soyunuyor	petek dinçöz hot	yes	99.88%	
похожие аниме на мастера меча онлайн	беглец мелодрама	no	83.30%	
мок и мод	структура олимпийского комитета	no	57.59%	
почему горят суставы на одной стороне тела	почему не стоит гуглить симптомы в интернете	yes	99.98%	
сказка заяц хвастун	гумно это	no	99.99%	
фильтр топлива рено 1.5 dci купить	рено модус замена ремня генератора дизель	yes	99.98%	
отделка бани комната отдыха внутри фото	настурция фото на клумбе	no	99.90%	
распространяются ли обязанности по хранению информации об электронных сообщениях	коммуникационный интернет-сервис	yes	89.80%	
лиза лида	обилие mr lambo скачать	no	99.86%	
купить телефон ООО ривьера	купить iphone	yes	82.51%	
Вспомогательные вещества в суспензиях для инъекций	пропиленгликоль пролонгатор	yes	99.60%	
музыка без слов с днем рождения	хэппи бездей музыка	yes	98.84%	
Время покажет 17.09.21	время покажет последний выпуск сегодня	yes	99.83%	
ТАБЛЕТНИЦА ПИЛЮЛЯ АРТ.74100 НА 1 ДЕНЬ Д/ЛЕК СРЕДСТВ (АЛЬПИНА ПЛАСТ О)	чуз ржд-медицина краснодар	no	99.89%	
Рустам хуснутдинов агрыз 1981	Слушать песню прости меня за все	no	99.99%	
тумбы под тв узкие глубиной 25 см	сколько времени ставится на кадастровый учет новостройка	no	99.96%	
роспотребнадзор новосибирск официальный сайт новосибирск жалоба	мастер по ремонту взял деньги и пропал	no	99.99%	
как сменить язык в футбол менеджер 2020	почему пес не запускается	no	99.42%	
смотреть канал доверие	содержание предмета история 11 класс фгос торкунов	no	99.95%	
установка на осень	установка на осень на 1 сентября	yes	99.78%	
проверочная работа по английскому 7 класс 1 модуль	school4krpr.eljur.ru hello	yes	97.74%	
сипр для слепых детей	фгос до для детей с овз	yes	92.02%	
можно ли оформить соц контракт на обучение в автошколе 2021	оирц вк обсуждения	no	89.27%	
кронштейн шарнирный универсальный для извещателей bracket tantos цена	оповещатель охранно-пожарный комбинированный УСС-М-12 цена	no	63.05%	
Не люби его	Песня ты полюбила дебила	yes	99.84%	
Кто обязан информировать работников об полагающихся им СИЗ?	Срок проведения специальной оценки условий труда	yes	81.24%	
Мужские славянские имена	имя для ребенка рожденного в марте	yes	99.38%	
аптека ру	триампур таблетки	yes	92.02%	
ноотропы с доказанной эффективностью список	атаракс после инсульта как принимать	no	53.49%	
инн организации	инн организации ООО РУсская поварня	yes	99.99%	
норма амортизационных отчислений	начислить амортизационные отчисления за каждый месяц	yes	98.81%	
Grohe Grohtherm 800 34576000	grohe essence 33624002	yes	98.54%	
административный округ москвы на щукинской	участок 3132	yes	55.65%	
Ампула льва толстого	прапорщик в солдатах сканворд	no	100.00%	
Болид Центральный сервер Орион Про	bas ip	no	99.99%	
чистка фильтра на веко	авито вольск	no	99.89%	
01714960650 Wurth Настенная раздаточная система для бумаги	102-40113 Комплект крышек адаптеров 13 предметов МАСТАК – 1шт	yes	98.75%	
док татар.ру	арбитражный суд рт официальный сайт	no	99.99%	
Он доехал быстрее (1) чем я думал (2) потому что (3) когда я спустился во двор (4) и (5) подошёл к условленному месту (6) на скамейке под липой уже маячила тёмная фигура.	Он заявил (1) что желает переговорить с ней (2) и (3) когда получил уклончивый, даже дерзкий ответ (4) что она не хочет с ним говорить (5) то ему пришла в голову давно задуманная мысль (6) о которой он заявлял .	yes	95.42%	
Партия титова	как засунуть сшитый полиэтилен в канализационную трубу	no	100.00%	
Дот спивак	джим парсонс	yes	93.94%	
борис стукалов	стукалов алексей тренер по футболу	yes	93.03%	
майл ру	гисметео краснодар	no	99.99%	
металл профиль тюмень	полуавтомат ресанта саипа 165	no	99.99%	
значение фразеологизма между небом и землей	правописание истинный	no	70.20%	
обрядовая смола 5 букв на л начинается	зачет по гто 8	no	97.16%	
леруа мерлен липецк строительство	леруа мерлен липецк каталог	yes	99.60%	
гдз по биологии 9 класс пономарева	сформулируйте правильный ответ какой относится биология 9 класс Пономарева	yes	99.87%	
2. Иванов при следовании к месту работы за 10 минут до начала смены на территории организации поскользнулся и упал, получив травму. Комиссия организации сочла этот случай не связанным с производством с учетом того, что Иванов к работе еще не приступил. Страховой стаж Иванова три года;	255 фз	no	99.99%	
лидия шпангенбергер (к	оксана сальных таганрог	no	99.99%	
Напишите программу, которая вводит два целых числа, a и b ( a < b ), и выводит через пробел 5 случайных целых чисел на отрезке [ a , b ] .	строка рандома в питоне	yes	99.79%	
снять студию авито чебоксары	форум на связи жилье чебоксары	yes	99.99%	
сохранить группу в ifc	ГОСТ 21.501-2011	no	97.71%	
синхронизатор хендай акцент	хендай акцент 2007 опорный подшипник артикул задний	yes	99.56%	
чувашия чебоксары	губернатор нижнего новгорода нижегородской области	no	91.34%	
Мощность линейного трансформатора определяется	Напряжение вторичной обмотки трансформатора ОМ линий ВЛ СЦБ	yes	99.95%	
JASMINE PALACE RESORT & SPA 5*	BRAYKA BAY RESORT 5*	yes	97.58%	
сиротка жившая с кокованей 6 букв сканворд	проток в дельте реки 5 букв на г	no	92.71%	
в койку анекдот	анекдот а поцеловать корова	yes	87.19%	
пирог с вареньем	катя березняцкая инстаграмм гродно	no	99.99%	
в связи с	профессия ресторатор	no	99.99%	
смолевичи - сула расстояние	Смолевичи Дзержинск расстояние	yes	89.94%	
Русская изба убранство русской избы рисунки	гдз по английскому языку 5 класс сборник упражнений в фокусе	no	99.99%	
Мила Сивацкая	актеры из сериала гранд	yes	99.74%	
наговицын песня звездочка	кучин песни мостик деревянный	yes	99.74%	
выборгский замок	музей на невском пятачке прорыв блокады	yes	87.23%	
Green Paradise Beach 4	fun sun family club saphire 5	yes	99.97%	
остров разлуки	судьба седой капитан	no	67.37%	
растекаться мыслею по древу	Он вещие персты свои на живые струны вскладывал,	yes	96.70%	
пятнадцать человек на сундук мертвеца песня	гротеск песни из острова сокровищ	yes	99.99%	
что бормочешь ты полночь наша	пролей со мной поток о мельпомена слезный восплачь и возрыдай и растрепли власы	yes	98.02%	
posso глагол	столица пьемонта	no	89.56%	
фильм про мужчиНу с маленьким членом германия	размер имеет значение	no	85.71%	
каким знаком обозначается разница в математике	образец коммерческого предложения	no	99.12%	
Павел перелыгин	павел перелыгин москва фото	yes	99.92%	
модерн токинг ёмахо емасо скачать бесплатно	песня за	no	95.97%	
4 на 5 в пикселях	как изменить размер фотографии	yes	99.99%	
Каким странам принадлежало первенство в географических открытиях конца XV — начала XVI в.?	Какой материк был назван именем итальянского путешественника Америго Веспуччи?	yes	99.97%	
как установить на круглую фундамент опалубку	доска для опалубки бу таганрог	yes	99.99%	
int в str с нуля python pandas	int в str четырёхзначный	yes	99.78%	
кунсткамера санкт-петербург	дом пашкова в москве	yes	97.00%	
предмет административного права	Предмет тгп	yes	98.61%	
гдз по географии 9 класс ответы на вопросы в учебнике дронов савельева	какую часть населения считают трудовыми ресурсами с чем связано их сокращение география	no	56.86%	
eryaman kız öğrenci yurdu	sincan yükseköğretim	yes	92.46%	
x3+6x2y+11xy2+6y3 0	onenote плагины	no	99.67%	
собачье сердце доктор преображенский анализ	как перезагрузить ноутбук с помощью клавиатуры	no	99.97%	
паустовский константин	Касатонов Игорь биография адмирал	no	91.15%	
английский язык 7 английский язык 7 класс афанасьева английский язык 7 класс английский язык 7 класс афанасьева михеева	можно ли есть хлеб при похудении вечером при похудении на ночь отзывы	no	83.71%	
TITANIC BEACH SPA & AQUA ... 5*	LE PACHA RESORT 4*	yes	98.03%	
Проблемы внедрения IoT?	Будущее интернета вещей	no	94.56%	
Какое определение правильно раскрывает смысл термина «колониализм»? Политика, целью которой является распространение власти страны на колониальные владения. Изъятие собственности из частных рук и передача в государственное владение. Политика, главной целью которой является защита внутреннего производителя от конкуренции. Политика стран, направленная на производство продуктов массового потребления.	В какое время проходила Северная война?	no	99.99%	
я мы украинский унитаз	назови зло по имени ирина градова читать полностью онлайн бесплатно на ratelib	no	98.55%	
семена чиа применение и польза	десерт с чиа и кокосовым молоком рецепт	yes	93.80%	
чем опасен технический прогресс	какие люди способны изменить стать двигателем прогресса	yes	99.95%	
схожесть между молекулами и рнк и трнк	Почта  13:07  ohlinetestpa  37% 4  Нуклеиновые кислоты. 11:14 АТФ (Самостоятельная работа)  Схема какого вещества изображена на рисунке?  ирнк  О атф  трнк  О днк  Дапее  market yandex.ru ремлыУать болыш	yes	53.87%	
упражнения на развитие статической силы является	упражнения на растягивание	yes	85.94%	
погода в речице	гомель речица автобус на сегодня	yes	62.40%	
алиэкспресс	робот-полотер галакси	no	98.99%	
сбераптека.рф киров официальный сайт	техосмотр 2021 новые правила для легковых автомобилей	no	99.99%	
голые девушки мульт вк	секс комиксы	yes	99.99%	
как открыть дверь в туалете без ключа	перед жаркой яблок их нужно очищать шкурку или нет	no	99.99%	
где в кирове купить комбинезон для ши тцу	комбинезоны для собак в кирове	yes	99.98%	
группа семиклассников получила от учителя биологии проанализируйте формулировку задачи	после забега спортсменов на 1000 метров проанализируйте формулировку задачи	yes	98.77%	
александр степанович попов проект 3 класс окружающий	белл александр грэм проект для 3 класс	yes	99.91%	
посуда центр барнаул каталог товаров с ценами	тандыр ман каталог барнаул	yes	77.68%	
решу огэ по математике 2021 9 класс ященко	составить предложение о школе	no	90.99%	
избирком нижегородской области официальный сайт	результаты выборов в госдуму 2021	yes	99.99%	
устроился на вайлдберриз когда выходить на работу	что будет если не вышел на работу в вайлдберриз	yes	99.92%	
служебный роман лошадь	acid pops перевод	no	99.99%	
застенчивая девушка  пришлось заплатить нанетаму мастеру как смогла	телесные удовольствия не	yes	88.15%	
радио онлайн слушать бесплатно	сушильная  машинка с ошибкой  F03	no	67.58%	
ogt301  внутри вода	замена ламп туманок калина 2	yes	97.94%	
banggood дропшиппинг	директорий поставщиков	no	99.98%	
перец аристотель	почему 1с 8.3 не считает больничный за фсс	no	99.99%	
Небесные верблюжата Гуро Е. книга купить	Тлеть Машнин А. книга купить	yes	99.72%	
вера коломникова жезказган	коломников василий ефимович	yes	99.60%	
страховая компания калькуляцию ущерба делает машине потерпевшему или виновному	чья страховая составляет калькуляцию на ремонт	yes	99.98%	
караоке помолимся за родителей	караоке любэ	yes	99.99%	
любовь которая убивает дорама тайская версия на русском языке	исторические дорамы про любовь	yes	88.34%	
лепс парус	сорок сороков песня высоцкого	yes	73.33%	
что делать если сын изъявляет желание носить колготки а мама против	связанная девушка на хуй	no	98.68%	
танцевальная музыка на свадьбу	музыка на свадьбу в кривом роге цены	yes	99.99%	
таусон александрова прогноз	амур северсталь прямой эфир	no	99.99%	
карточный пасьянс свободная ячейка кроссворд 7	адмирал памятник которому на трафальгарской площади 7 букв	yes	80.22%	
монография киняпина н.с	экономическая история россии с древнейших времен до 1917 г энциклопедия м 2008	yes	87.93%	
кто изучает то язык да тихо	арматура автопокрышки	no	99.99%	
значительно часть речи	разбор сложных предложений	yes	94.89%	
3) В доме ( ) стук, хлопанье ставень, разговоры.	1) Жаворонок ( ) символ выси, неба, тепла. 2) Воздух там ( ) чист, как молитва ребёнка.	yes	99.99%	
средства ухода за матовым покрытием фасада	мдм торговое оборудование москва	no	99.80%	
tutis амортизация	пепперони на фермском шоссе	no	98.08%	
вилочковая железа где находится и за что отвечает	Миндалины это часть иммунной системы?	yes	98.92%	
Оперативная память DDR-3 DMM56W64UE-H9	кпт-8 купить	yes	54.92%	
Чем должны оснащаться передвижные насосные установки, предназначенные для работы на скважинах?	Какое из перечисленных требований предъявляется к оборудованию устья скважины, подлежащей реконструкции?	yes	98.00%	
хорт игорь анатольевич все книги по сериям	городецкий иван другой мир все книги скачать бесплатно в fb2	yes	99.99%	
ростовметео константиновск ростовская область	погода в лазаревском на 10 дней и температура воды в море	yes	88.12%	
зеуди арая	Валентина Деми порно	no	76.65%	
полонская Светлана Ивацевичи	полонская лена Ивацевичи	yes	98.36%	
кандишоп.ру в твери	торт прага рецепт классический советского времени	no	100.00%	
прайс лист кдл омск	через сколько времени проходит синяк над глазом если он пожелтел	no	99.99%	
шевченко александр г дробыш	евровидение 2016 россия	no	99.96%	
составить предложение со словом жизнь 2 класс	таблица звонких и глухих согласных	yes	99.75%	
заказать матрас топпер в спб	автобусы в кронштадт из санкт-петербурга от беговой	no	99.99%	
хестанов денис борисович хирург	хирурги в клинике рогачева	yes	99.99%	
словарное слово восток	словарное слово горох	yes	99.99%	
гдз окружающий мир 2 класс рабочая тетрадь 1 часть 6стр	гдз по русскому языку 2 класс 20стр	yes	99.99%	
калькулятор в столбик деление и умножение	Сорок шесть на 16 столбиком 	yes	100.00%	
ГДЗ по алгебре	гдз по алгебре 7 класс мордкович	yes	99.99%	
этажность тексты песен	этажность мёртвого крика разбор	yes	99.99%	
потсдамский мирный договор читать	мирный договор русско-японской войны 1904-1905	yes	98.67%	
если широкие плечи и широкие бедра какая это фигура	вечеринка мертвых	no	99.97%	
структура содержимое которой называют клеточным соком	в какой момент жизнедеятельности клетки происходит удвоение числа хромосом	yes	99.99%	
как подготовиться к исповеди и причастию в первый раз взрослому	как начинать исповедь перед батюшкой с каких слов	yes	99.99%	
сяо гайд	арты на крит урон	no	82.84%	
молитва от импотенции	арзамас двери входные металлические	no	99.99%	
дни голосования в сентябре 2021	самый тяжелый день наблюдателей	no	96.35%	
допускается размещение нескольких приложений к распорядительному документу на одном листе	приказ о проведении СОУТ пример	no	87.42%	
пулемет немецкий мг 40	следствие вели с леонидом каневским 2021 новые выпуски	no	99.97%	
Такси ижевск	москва-санкт-петербург расстояние	no	99.91%	
слова песни млд	слова песни can't pretend	yes	99.99%	
возможные способы изменения внутренней энергии	к какой области культуры относится скульптура	no	99.87%	
Работа в гомеле	работа психологом в детском саду вакансии	yes	99.98%	
intel uhd graphics 620 отзыв	nvidia geforce mx450 отзывы	yes	100.00%	
Файл-вкладыш Комус А4 180 мкм прозрачный гладкий 5 штук в упаковке	Сумка для ноутбука 17.3 Continent CC-018 черная	no	99.24%	
спарассис курчавый	спарассис курчавый как приготовить настойку	yes	99.61%	
del mar	горький вкус	no	99.99%	
песня как кап кап тук тук тук	песня листик желтый листик желтый на дорожку упадет	yes	100.00%	
гдз по английскому спотлайт 4 класс сборник упражнений	урок по чтению с включением биографической справки и наблюдением за образом в системе текста	yes	77.69%	
усадьба маркшейдер	усадьба маркштедер вблизи п голдыревский 	yes	99.98%	
Олег Семенович, проработав филологом больше 20 лет, в течение последних 5 лет выполнял за вознаграждение научные переводы для граждан и юридических лиц, которые обращались к нему по советам его знакомых. Размер вознаграждения определялся по согласованию сторон. Все переводы Олег Семенович выполнял у себя дома. Однажды его навестили сотрудники налоговых органов, которые потребовали, чтобы Олег Семе	Имеет ли значение, что у Олега Семеновича было постоянное место работы, например, он работает профессором филологического факультета государственного университета	yes	99.99%	
как пить кровь обливион	обливион через сколько восстанавливается у торговца	yes	86.50%	
городской дом культуры пятигорск	куда съездить из пятигорска самостоятельно	yes	99.49%	
что нового в культуре и просвещении появилось в 18 веке какие новые жанры стали популярны с 1760	со многими писателями знакомит нас 18 век это кантемир тредиаковский ломоносов сумароков	yes	70.43%	
konya sokak elektronik modern çatladığı modern	ankara konya sokak modem satışı	yes	99.68%	
ufhvfybxztcrbq lj lbtp vbyjh	гармонический до диез минор	no	93.24%	
отключили воду томск 13 сентября	ye pev e vtyz yt pfgerftncz	no	98.41%	
ЖК «Veren Next шуваловский»	ЖК «Октябрьская набережная»	yes	80.79%	
для чего нужен термостат	Когда появились первые промышленный	no	99.16%	
Сверкнуло морфемный разбор	Звездочка морфемный разбор	yes	99.97%	
сделай мне домашнее задание по математике 6 б класс номер 37	алгебра 8 класс номер 23 страница 13	no	82.51%	
Replace the personal pronouns with possessive pronouns 1. This laptop is (you) __ . 2. The book is (I) __.	"1. I met Peter""s friend last night. 2. Whose stamps are these? They are Jacob""s. 3. Mia""s swimsuit is so stylish! 4. Bryan and Emma""s hamster lives in a big cage. 5. Whose bottle is this? It""s Sophia"""	yes	100.00%	
суп щи из свежей	томатная паста на зиму в домашних условиях	yes	99.99%	
виноград аркадия чья селекция	виноград памяти домбковской чья селекция	yes	100.00%	
кладбище в калмыкии фото	могилы в степях	yes	99.99%	
авито ява хакасия	авито мото шушенское	yes	99.99%	
коапровель инструкция	апроваск 5+300	yes	95.40%	
социологию преступности	социологию правосознания и правового поведения;	yes	99.99%	
угроза жизни от психически больного человека	штраф за нарушение тишины	no	98.76%	
днс яндекса	днс сервер йота	yes	100.00%	
старый дом	руки вверх слушать	yes	99.99%	
физически обособленные рулон кинопленки, магнитной или бумажной ленты, кассета, фоновалик, граморигинал, грампластинка с записью звуковой информации, размещенный в конверте, коробке, футляре или бюксе	Единица хранения архивных документов    Носитель    дело, представляющее собой совокупность документов или один документ	no	75.91%	
строение атома калия	химия 9 класс рудзитис	yes	99.99%	
собрать img на телефоне	скачать raspbian для raspberry pi 4	no	96.81%	
телефон горячей линии сбербанка для физических лиц бесплатный с оператором	калькулятор ипотеки с ребенком инвалидом	yes	98.80%	
панцеф цена	панцеф или супракс что лучше	yes	99.99%	
PYRAMISA BEACH RESORT 5*	ROYAL REGENCY CLUB 5*	yes	89.87%	
достопримечательности сша фото с названиями	африка на каком материке расположена	yes	68.16%	
В ходе процедуры наследования собственником стал несовершеннолетний гражданин. В этом примере реализуется право…	Водоснабжение в городах является ____________ рынком.	yes	63.79%	
когда я войду в атмосферу, - подумал холлис, - то погасну, как метеор. - хотел бы я знать, - сказал он, - кто-нибудь увидит меня? кто увидел холлиса?	Как назывался мелкий метеорный рой астероидов в виде калейдоскопа, в который попал Стоун?	no	67.80%	
стоимость макета наклейки	круглая наклейка размер	yes	98.62%	
чертёж станина 6 как начертить	инж граф баумана станина	no	87.83%	
зенден майкоп каталог товаров с ценами	зенден майкоп зимняя обувь	yes	99.99%	
the traveling merchant teso	элайджа вуд	no	99.99%	
карты таро	карты таро значение и толкование каждой	yes	99.99%	
номер 24 по русскому языку за 7 класс баранов ладыженская	что изучает морфология	no	58.28%	
кто не старше но и не моложе 9 букв сканворд	сапог с загнутым носком	no	99.99%	
pa6 gf30 ручка bmw	ручка двери bmw g301r	yes	99.99%	
